student_no,subject,location,spcl_prog_text,resident,s1_gender,class,checkin date
1364346,Commuter Commons,HUB Commuter Commons,ADM SAI,1,M,1,8-Jan-14
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,9-Oct-13
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,4-Nov-13
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,12-Nov-13
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,26-Nov-13
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,14-Jan-14
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,21-Jan-14
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,27-Jan-14
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,29-Jan-14
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,17-Feb-14
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,23-Feb-14
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,24-Feb-14
1365207,Math,MHG Front Desk,ADM SAI,1,F,3,13-May-14
1368932,Commuter Commons,HUB Commuter Commons,ADM SAI,1,F,3,8-Oct-13
1368933,Commuter Commons,HUB Commuter Commons,ADM SAI,1,F,3,6-Jan-14
1369390,Chem,MHG Front Desk,ADM SAI,2,F,2,27-Oct-13
1369390,Chem,MHG Front Desk,ADM SAI,2,F,2,14-Nov-13
960403,Commuter Commons,HUB Commuter Commons,ATHLETICS,1,M,4,18-Nov-13
960403,Commuter Commons,HUB Commuter Commons,ATHLETICS,1,M,4,17-Mar-14
960403,Commuter Commons,HUB Commuter Commons,ATHLETICS,1,M,4,6-May-14
960403,Commuter Commons,HUB Commuter Commons,ATHLETICS,1,M,4,7-May-14
960651,Bio,MHG Front Desk,ATHLETICS,1,F,4,30-Jan-14
1028265,Commuter Commons,HUB Commuter Commons,ATHLETICS,3,M,4,31-Oct-13
1035651,Anything Goes,MHG Front Desk,ATHLETICS,1,M,4,11-Mar-14
1035651,ECON,MHG Front Desk,ATHLETICS,1,M,4,25-Feb-14
1130610,Math,MHG Front Desk,ATHLETICS,3,M,3,5-Dec-13
1133849,Anything Goes,MHG Front Desk,ATHLETICS,3,F,4,29-Apr-14
1135500,Physics,MHG Front Desk,ATHLETICS,1,F,4,21-Oct-13
1150357,Chem,MHG Front Desk,ATHLETICS,1,M,4,7-Apr-14
1150357,Chem,MHG Front Desk,ATHLETICS,1,M,4,16-Apr-14
1150357,Chem,MHG Front Desk,ATHLETICS,1,M,4,28-Apr-14
1150357,Chem,MHG Front Desk,ATHLETICS,1,M,4,5-May-14
1150357,Physics,MHG Front Desk,ATHLETICS,1,M,4,10-Feb-14
1150357,Physics,MHG Front Desk,ATHLETICS,1,M,4,24-Feb-14
1150357,Physics,MHG Front Desk,ATHLETICS,1,M,4,8-Apr-14
1150357,Physics,MHG Front Desk,ATHLETICS,1,M,4,21-Apr-14
1150357,Physics,MHG Front Desk,ATHLETICS,1,M,4,21-Apr-14
1160862,Physics,MHG Front Desk,ATHLETICS,1,F,4,5-Dec-13
1260680,ECON,MHG Front Desk,ATHLETICS,5,F,3,30-Apr-14
1260680,ECON,MHG Front Desk,ATHLETICS,5,F,3,4-May-14
1260696,Physics,MHG Front Desk,ATHLETICS,3,F,3,29-May-14
1260703,Anything Goes,MHG Front Desk,ATHLETICS,3,M,3,24-Oct-13
1260745,Spanish,MHG Front Desk,ATHLETICS,1,F,3,17-Feb-14
1260767,ECON,MHG Front Desk,ATHLETICS,3,M,2,11-Mar-14
1268441,Chem,MHG Front Desk,ATHLETICS,1,F,2,21-Oct-13
1268441,Chem,MHG Front Desk,ATHLETICS,1,F,2,28-Oct-13
1268441,Chem,MHG Front Desk,ATHLETICS,1,F,2,27-Jan-14
1268441,Chem,MHG Front Desk,ATHLETICS,1,F,2,3-Feb-14
1268441,Chem,MHG Front Desk,ATHLETICS,1,F,2,10-Feb-14
1268441,Chem,MHG Front Desk,ATHLETICS,1,F,2,12-Feb-14
1327447,Math,MHG Front Desk,ATHLETICS,1,M,2,27-Jan-14
1327483,Math,MHG Front Desk,ATHLETICS,1,F,3,16-Jan-14
1327485,ECON,MHG Front Desk,ATHLETICS,1,M,2,19-Nov-13
1327485,ECON,MHG Front Desk,ATHLETICS,1,M,2,3-Dec-13
1327521,Math,MHG Front Desk,ATHLETICS,1,F,2,13-Feb-14
1327521,Math,MHG Front Desk,ATHLETICS,1,F,2,20-Feb-14
1327521,Math,MHG Front Desk,ATHLETICS,1,F,2,27-Feb-14
1327521,Math,MHG Front Desk,ATHLETICS,1,F,2,12-Mar-14
1327532,Commuter Commons,HUB Commuter Commons,ATHLETICS,1,M,2,5-Feb-14
1327560,Math,MHG Front Desk,ATHLETICS,1,F,2,1-Oct-13
1327564,Physics,MHG Front Desk,ATHLETICS,1,M,2,9-Feb-14
1327564,Physics,MHG Front Desk,ATHLETICS,1,M,2,10-Feb-14
1327573,ECON,MHG Front Desk,ATHLETICS,3,M,2,19-Nov-13
1330188,Bio,MHG Front Desk,ATHLETICS,1,F,2,28-Jan-14
1330188,Math,MHG Front Desk,ATHLETICS,1,F,2,25-Nov-13
1330188,Math,MHG Front Desk,ATHLETICS,1,F,2,4-Dec-13
1332533,CSE,MHG Front Desk,ATHLETICS,3,M,2,4-Feb-14
1332533,CSE,MHG Front Desk,ATHLETICS,3,M,2,5-Feb-14
1332533,CSE,MHG Front Desk,ATHLETICS,3,M,2,11-Feb-14
1332533,CSE,MHG Front Desk,ATHLETICS,3,M,2,24-Feb-14
1332533,Math,MHG Front Desk,ATHLETICS,3,M,2,2-Feb-14
1332533,Math,MHG Front Desk,ATHLETICS,3,M,2,10-Feb-14
1332533,Math,MHG Front Desk,ATHLETICS,3,M,2,17-Feb-14
1332533,Math,MHG Front Desk,ATHLETICS,3,M,2,23-Feb-14
1332533,Math,MHG Front Desk,ATHLETICS,3,M,2,5-Mar-14
1332555,Math,MHG Front Desk,ATHLETICS,1,M,1,15-Oct-13
1332559,Math,MHG Front Desk,ATHLETICS,1,F,2,14-Oct-13
1332560,Anything Goes,MHG Front Desk,ATHLETICS,1,F,1,4-Nov-13
1332560,Anything Goes,MHG Front Desk,ATHLETICS,1,F,1,5-Nov-13
1332560,Math,MHG Front Desk,ATHLETICS,1,F,1,15-Oct-13
1331757,Math,MHG Front Desk,ATHLETICS-EOP,1,F,2,7-Jan-14
1331757,Math,MHG Front Desk,ATHLETICS-EOP,1,F,2,8-Jan-14
1331757,Math,MHG Front Desk,ATHLETICS-EOP,1,F,2,12-Jan-14
1331757,Math,MHG Front Desk,ATHLETICS-EOP,1,F,2,15-Jan-14
1331757,Math,MHG Front Desk,ATHLETICS-EOP,1,F,2,16-Jan-14
1331757,Math,MHG Front Desk,ATHLETICS-EOP,1,F,2,21-Jan-14
1331757,Math,MHG Front Desk,ATHLETICS-EOP,1,F,2,22-Jan-14
1331757,Math,MHG Front Desk,ATHLETICS-EOP,1,F,2,27-Jan-14
1331757,Math,MHG Front Desk,ATHLETICS-EOP,1,F,2,28-Jan-14
132106,Commuter Commons,HUB Commuter Commons,EOP,1,F,6,11-Apr-14
132903,Chem,HUB Commuter Commons,EOP,1,M,4,2-Oct-13
136482,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,14-Mar-14
350716,French,MHG Front Desk,EOP,1,F,3,6-Apr-14
350716,French,MHG Front Desk,EOP,1,F,3,6-Apr-14
350716,French,MHG Front Desk,EOP,1,F,3,16-Apr-14
350716,French,MHG Front Desk,EOP,1,F,3,1-Jun-14
531581,Commuter Commons,HUB Commuter Commons,EOP,1,M,2,13-May-14
633810,Stats,MHG Front Desk,EOP,1,M,3,5-Feb-14
639969,Commuter Commons,HUB Commuter Commons,EOP,1,M,3,8-Oct-13
651561,Stats,MHG Front Desk,EOP,1,M,3,6-Nov-13
651561,Stats,MHG Front Desk,EOP,1,M,3,20-Nov-13
660842,Chem,HUB Commuter Commons,EOP,1,M,4,25-Sep-13
727674,Chem,HUB Commuter Commons,EOP,1,M,4,27-Sep-13
760716,Chem,HUB Commuter Commons,EOP,1,F,4,2-Oct-13
760716,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,29-Jan-14
762277,Math,MHG Front Desk,EOP,1,F,4,22-Oct-13
821188,Chem,MHG Front Desk,EOP,1,M,4,17-Oct-13
825944,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,6-Jan-14
825944,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,22-Jan-14
830385,Math,MHG Front Desk,EOP,1,M,4,13-Jan-14
830385,Math,MHG Front Desk,EOP,1,M,4,14-Jan-14
831926,Chem,MHG Front Desk,EOP,1,M,4,26-May-14
832549,Spanish,MHG Front Desk,EOP,1,M,3,5-Mar-14
839877,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,6-Jan-14
840472,Physics,MHG Front Desk,EOP,1,M,4,10-Oct-13
840472,Physics,MHG Front Desk,EOP,1,M,4,17-Oct-13
840472,Physics,MHG Front Desk,EOP,1,M,4,24-Oct-13
840472,Physics,MHG Front Desk,EOP,1,M,4,3-Nov-13
840472,Physics,MHG Front Desk,EOP,1,M,4,25-Nov-13
840472,Physics,MHG Front Desk,EOP,1,M,4,5-Dec-13
842958,Math,MHG Front Desk,EOP,1,M,3,21-Nov-13
842958,Math,MHG Front Desk,EOP,1,M,3,3-Feb-14
842958,Math,MHG Front Desk,EOP,1,M,3,24-Feb-14
842958,Physics,MHG Front Desk,EOP,1,M,3,3-Dec-13
842958,Physics,MHG Front Desk,EOP,1,M,3,4-Dec-13
851766,Anything Goes,MHG Front Desk,EOP,1,F,4,26-May-14
862478,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,10-Apr-14
862478,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,1-May-14
910849,Anything Goes,MHG Front Desk,EOP,1,F,4,16-Jan-14
914565,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,8-Jan-14
924336,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,12-Feb-14
924343,Chem,HUB Commuter Commons,EOP,2,F,4,30-Sep-13
924343,Chem,HUB Commuter Commons,EOP,2,F,4,1-Oct-13
924343,Chem,HUB Commuter Commons,EOP,2,F,4,2-Oct-13
924343,Commuter Commons,HUB Commuter Commons,EOP,2,F,4,20-Nov-13
924343,Commuter Commons,HUB Commuter Commons,EOP,2,F,4,25-Nov-13
924343,Commuter Commons,HUB Commuter Commons,EOP,2,F,4,2-Dec-13
925349,Chem,HUB Commuter Commons,EOP,1,F,4,26-Sep-13
925349,Chem,HUB Commuter Commons,EOP,1,F,4,27-Sep-13
925349,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,7-Oct-13
925349,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,15-Jan-14
925349,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,25-Feb-14
925349,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,15-Apr-14
925349,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,17-Apr-14
925349,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,1-May-14
925561,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,21-Oct-13
925561,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,22-Jan-14
925735,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,19-Mar-14
925795,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,23-Oct-13
925795,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,13-Feb-14
925945,Chem,MHG Front Desk,EOP,1,F,4,2-Apr-14
928421,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,21-Nov-13
928421,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,7-Apr-14
929371,Chem,HUB Commuter Commons,EOP,1,F,4,2-Oct-13
929371,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,24-Jan-14
929371,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,27-Jan-14
929420,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,7-Apr-14
929420,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,6-May-14
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,25-Oct-13
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,25-Nov-13
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,8-Jan-14
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,14-Jan-14
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,23-Jan-14
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,3-Feb-14
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,4-Feb-14
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,6-Feb-14
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,19-Feb-14
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,20-Feb-14
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,29-Apr-14
930857,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,21-May-14
931706,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,8-Jan-14
931839,Math,MHG Front Desk,EOP,1,F,4,30-Jan-14
931850,Commuter Commons,HUB Commuter Commons,EOP,3,F,4,14-Mar-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,14-Jan-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,15-Jan-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,22-Jan-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,29-Jan-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,18-Feb-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,24-Feb-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,4-Apr-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,7-Apr-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,10-Apr-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,24-Apr-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,25-Apr-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,28-Apr-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,20-May-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,21-May-14
932764,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,27-May-14
937805,Chem,HUB Commuter Commons,EOP,1,F,4,27-Sep-13
937805,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,11-Oct-13
937912,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,27-Nov-13
937912,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,9-Jan-14
937912,Commuter Commons,HUB Commuter Commons,EOP,1,F,4,26-Feb-14
939801,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,8-Oct-13
939801,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,9-Oct-13
939801,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,22-Oct-13
939801,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,15-Nov-13
939801,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,5-Dec-13
940903,Stats,MHG Front Desk,EOP,1,M,4,2-Oct-13
963332,Commuter Commons,HUB Commuter Commons,EOP,1,M,4,4-Feb-14
963613,Bio,MHG Front Desk,EOP,1,M,4,1-Oct-13
963613,Math,MHG Front Desk,EOP,1,M,4,8-Oct-13
963613,Math,MHG Front Desk,EOP,1,M,4,13-Oct-13
963613,Math,MHG Front Desk,EOP,1,M,4,15-Oct-13
963613,Math,MHG Front Desk,EOP,1,M,4,5-Nov-13
963613,Math,MHG Front Desk,EOP,1,M,4,14-Nov-13
963613,Math,MHG Front Desk,EOP,1,M,4,3-Dec-13
963613,Math,MHG Front Desk,EOP,1,M,4,6-Feb-14
963613,Math,MHG Front Desk,EOP,1,M,4,12-Feb-14
963613,Math,MHG Front Desk,EOP,1,M,4,17-Feb-14
963613,Math,MHG Front Desk,EOP,1,M,4,18-Feb-14
963613,Math,MHG Front Desk,EOP,1,M,4,25-Feb-14
963613,Math,MHG Front Desk,EOP,1,M,4,27-Feb-14
963613,Math,MHG Front Desk,EOP,1,M,4,3-Mar-14
963613,Math,MHG Front Desk,EOP,1,M,4,4-Mar-14
963613,Math,MHG Front Desk,EOP,1,M,4,5-Mar-14
963613,Math,MHG Front Desk,EOP,1,M,4,11-Mar-14
963613,Math,MHG Front Desk,EOP,1,M,4,12-Mar-14
963613,Math,MHG Front Desk,EOP,1,M,4,16-Mar-14
963613,Math,MHG Front Desk,EOP,1,M,4,19-Mar-14
963613,Math,MHG Front Desk,EOP,1,M,4,7-Apr-14
963613,Math,MHG Front Desk,EOP,1,M,4,8-Apr-14
963613,Math,MHG Front Desk,EOP,1,M,4,13-Apr-14
963613,Math,MHG Front Desk,EOP,1,M,4,14-Apr-14
963613,Math,MHG Front Desk,EOP,1,M,4,15-Apr-14
963613,Math,MHG Front Desk,EOP,1,M,4,22-Apr-14
963613,Math,MHG Front Desk,EOP,1,M,4,23-Apr-14
963613,Math,MHG Front Desk,EOP,1,M,4,24-Apr-14
963613,Math,MHG Front Desk,EOP,1,M,4,28-Apr-14
963613,Math,MHG Front Desk,EOP,1,M,4,29-Apr-14
963613,Math,MHG Front Desk,EOP,1,M,4,5-May-14
963613,Math,MHG Front Desk,EOP,1,M,4,6-May-14
963613,Math,MHG Front Desk,EOP,1,M,4,12-May-14
963613,Math,MHG Front Desk,EOP,1,M,4,19-May-14
963613,Math,MHG Front Desk,EOP,1,M,4,20-May-14
963613,Math,MHG Front Desk,EOP,1,M,4,29-May-14
963613,Physics,MHG Front Desk,EOP,1,M,4,8-Oct-13
963613,Physics,MHG Front Desk,EOP,1,M,4,9-Oct-13
963613,Physics,MHG Front Desk,EOP,1,M,4,13-Oct-13
963613,Physics,MHG Front Desk,EOP,1,M,4,15-Oct-13
963613,Physics,MHG Front Desk,EOP,1,M,4,20-Oct-13
963613,Physics,MHG Front Desk,EOP,1,M,4,21-Oct-13
963613,Physics,MHG Front Desk,EOP,1,M,4,27-Oct-13
963613,Physics,MHG Front Desk,EOP,1,M,4,28-Oct-13
963613,Physics,MHG Front Desk,EOP,1,M,4,29-Oct-13
963613,Physics,MHG Front Desk,EOP,1,M,4,30-Oct-13
963613,Physics,MHG Front Desk,EOP,1,M,4,3-Nov-13
963613,Physics,MHG Front Desk,EOP,1,M,4,5-Nov-13
963613,Physics,MHG Front Desk,EOP,1,M,4,6-Nov-13
963613,Physics,MHG Front Desk,EOP,1,M,4,12-Nov-13
963613,Physics,MHG Front Desk,EOP,1,M,4,13-Nov-13
963613,Physics,MHG Front Desk,EOP,1,M,4,17-Nov-13
963613,Physics,MHG Front Desk,EOP,1,M,4,24-Nov-13
963613,Physics,MHG Front Desk,EOP,1,M,4,26-Nov-13
963859,Chem,HUB Commuter Commons,EOP,1,F,3,25-Sep-13
963859,Chem,HUB Commuter Commons,EOP,1,F,3,27-Sep-13
963859,Chem,HUB Commuter Commons,EOP,1,F,3,30-Sep-13
963859,Chem,HUB Commuter Commons,EOP,1,F,3,30-Sep-13
963859,Chem,HUB Commuter Commons,EOP,1,F,3,1-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,7-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,8-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,9-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,11-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,14-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,17-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,18-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,22-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,24-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,25-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,28-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,29-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,31-Oct-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,4-Nov-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,5-Nov-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,7-Nov-13
963859,Commuter Commons,HUB Commuter Commons,EOP,1,F,3,8-Nov-13
